timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-21 11:31:20.174259,2019-01-21 11:31:40.649,2019-01-21 11:31:40.377616,2019-01-21 11:31:20.896,2019-01-21 11:31:40.639
2019-01-21 11:31:20.184675,2019-01-21 11:31:42.482,2019-01-21 11:31:40.381463,2019-01-21 11:31:20.856,2019-01-21 11:31:42.481
2019-01-21 11:31:20.186434,2019-01-21 11:31:42.585,2019-01-21 11:31:40.386474,2019-01-21 11:31:20.865,2019-01-21 11:31:42.582
2019-01-21 11:31:20.177358,2019-01-21 11:31:42.686,2019-01-21 11:31:40.379803,2019-01-21 11:31:20.595,2019-01-21 11:31:42.683
2019-01-21 11:31:20.192338,2019-01-21 11:31:42.789,2019-01-21 11:31:40.389432,2019-01-21 11:31:20.993,2019-01-21 11:31:42.788
2019-01-21 11:31:20.186958,2019-01-21 11:31:42.890,2019-01-21 11:31:40.387395,2019-01-21 11:31:20.848,2019-01-21 11:31:42.888
2019-01-21 11:31:20.195569,2019-01-21 11:31:42.993,2019-01-21 11:31:40.405220,2019-01-21 11:31:20.818,2019-01-21 11:31:42.990
2019-01-21 11:31:20.177999,2019-01-21 11:31:43.95,2019-01-21 11:31:40.380216,2019-01-21 11:31:20.826,2019-01-21 11:31:43.92
2019-01-21 11:31:20.187278,2019-01-21 11:31:43.195,2019-01-21 11:31:40.387822,2019-01-21 11:31:20.589,2019-01-21 11:31:43.194
2019-01-21 11:31:20.196603,2019-01-21 11:31:43.294,2019-01-21 11:31:40.406638,2019-01-21 11:31:20.824,2019-01-21 11:31:43.293
2019-01-21 11:31:20.210928,2019-01-21 11:31:43.394,2019-01-21 11:31:40.411850,2019-01-21 11:31:20.696,2019-01-21 11:31:43.392
2019-01-21 11:31:20.207167,2019-01-21 11:31:43.496,2019-01-21 11:31:40.409001,2019-01-21 11:31:20.725,2019-01-21 11:31:43.493
2019-01-21 11:31:20.193610,2019-01-21 11:31:43.595,2019-01-21 11:31:40.402963,2019-01-21 11:31:20.836,2019-01-21 11:31:43.592
2019-01-21 11:31:20.261068,2019-01-21 11:31:43.694,2019-01-21 11:31:40.489666,2019-01-21 11:31:20.828,2019-01-21 11:31:43.693
2019-01-21 11:31:20.193429,2019-01-21 11:31:43.793,2019-01-21 11:31:40.390739,2019-01-21 11:31:20.536,2019-01-21 11:31:43.792
2019-01-21 11:31:20.194561,2019-01-21 11:31:43.891,2019-01-21 11:31:40.404038,2019-01-21 11:31:20.789,2019-01-21 11:31:43.889
2019-01-21 11:31:20.179224,2019-01-21 11:31:43.988,2019-01-21 11:31:40.381034,2019-01-21 11:31:20.730,2019-01-21 11:31:43.987
2019-01-21 11:31:20.218270,2019-01-21 11:31:44.87,2019-01-21 11:31:40.439868,2019-01-21 11:31:20.794,2019-01-21 11:31:44.85
2019-01-21 11:31:20.207951,2019-01-21 11:31:44.188,2019-01-21 11:31:40.409420,2019-01-21 11:31:20.919,2019-01-21 11:31:44.186
2019-01-21 11:31:20.220228,2019-01-21 11:31:44.288,2019-01-21 11:31:40.441769,2019-01-21 11:31:20.898,2019-01-21 11:31:44.287
2019-01-21 11:31:20.176112,2019-01-21 11:31:44.390,2019-01-21 11:31:40.378884,2019-01-21 11:31:20.590,2019-01-21 11:31:44.388
2019-01-21 11:31:20.175437,2019-01-21 11:31:44.492,2019-01-21 11:31:40.378434,2019-01-21 11:31:20.701,2019-01-21 11:31:44.489
2019-01-21 11:31:20.192532,2019-01-21 11:31:44.596,2019-01-21 11:31:40.389674,2019-01-21 11:31:20.823,2019-01-21 11:31:44.591
2019-01-21 11:31:20.196387,2019-01-21 11:31:44.698,2019-01-21 11:31:40.406374,2019-01-21 11:31:20.699,2019-01-21 11:31:44.696
