horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
11:04:56.179916518,0.25,1555110,48093794,1166371,596763,28408027,6691658,97335,3.395,2867344,1474269,99.55
11:04:58.059538651,0.25,299064,5716731,1064346,522287,30834406,6957320,104915,3.516,2983819,1518930,99.65
11:04:59.945885364,0.25,345935,7268803,6143225,2435286,49692717,11461959,139782,2.928,4774722,2484417,99.72
11:05:01.943775776,0.25,774566,15315064,1606507,777864,108422343,21223772,387558,4.104,9443804,4552830,99.61
11:05:03.827002008,0.25,114410,2563282,1128926,566775,30546297,6846841,107324,3.639,2949555,1467992,99.64
11:05:05.704480526,0.25,215769,7975150,4039663,1673390,31036724,7209102,107784,3.485,3092751,1589149,99.79
11:05:07.570204920,0.25,101190,2248780,1332833,622796,32158311,7123871,109007,3.564,3058287,1527577,99.58
11:05:09.441893745,0.25,106822,2390639,1051119,530676,91143979,20468042,386364,3.746,10312954,4286682,99.68
11:05:11.294792626,0.25,95989,2182715,2692004,1164362,33423180,7451219,118932,3.660,3249605,1634134,99.56
11:05:13.161576871,0.25,105507,2432639,1148245,585676,47638615,11729994,156589,2.973,5266366,2555103,99.54
11:05:15.019110910,0.25,94445,1960987,1050946,519720,50994822,14716812,212646,3.104,6851050,3199051,99.58
11:05:16.886184333,0.25,101853,2212903,1118889,558467,29753615,6902008,101429,3.427,2959608,1531621,99.67
11:05:18.743842837,0.25,124421,3022246,1204784,587752,38663798,7994626,118407,3.431,3450639,1750769,99.67
11:05:20.604399877,0.25,109649,2483617,4621460,1477421,491786609,86628162,1860446,4.696,39620659,18266374,99.64
11:05:22.495829810,0.25,226433,4723839,1492733,751359,36494862,8643255,129712,3.412,3801472,1892773,99.69
11:05:24.370377781,0.25,309227,6544589,1369277,629371,30391383,6974090,102801,3.472,2961188,1519757,99.52
11:05:26.250401584,0.25,293192,6484100,2148833,859200,33479904,7554827,112907,3.514,3212904,1634044,99.56
11:05:28.183309850,0.25,104963,2277931,1058407,528772,36733906,9275226,129724,3.162,4102732,2019813,99.64
11:05:30.060060545,0.25,100029,2382264,7624965,2601353,32261578,7405142,106612,3.400,3135616,1643344,99.65
11:05:31.902538236,0.25,100314,2216917,1218758,616561,36154654,8003874,122581,3.595,3409865,1752071,99.54
11:05:33.796218502,0.25,94295,2167606,1065356,561425,74545904,14745725,290912,4.005,7264133,2973622,99.55
11:05:35.650553053,0.25,98089,2126616,1365170,634128,72007293,20030993,291129,3.234,9003023,4377025,99.66
11:05:37.520215808,0.25,114865,2597947,1082597,543789,32626018,7342650,111322,3.564,3123405,1606893,99.65
11:05:39.402099871,0.25,109130,2386763,1133055,578619,35043024,7580108,110533,3.421,3230876,1664109,99.81
11:05:41.284302466,0.25,471579,8375801,52067014,20278360,119269379,22291024,334146,3.559,9387445,4502258,99.55
11:05:43.187172902,0.25,127476,2877642,3159893,1312578,75739091,16084378,251244,3.468,7245287,3153612,99.75
11:05:45.044598171,0.25,209800,4996394,2808026,1306484,78239657,17266203,283617,3.609,7857824,3582000,99.59
11:05:46.895309448,0.25,357786,10677354,2796437,1298153,95974489,19442048,316605,3.520,8994811,3951353,99.59
11:05:48.746061499,0.25,212724,5093491,2941355,1326860,105018885,20448467,315507,3.407,9261461,4215292,99.65
11:05:50.600927586,0.25,354118,7486928,2067181,883571,33272675,7742789,106890,3.288,3250620,1731107,99.66
11:05:52.452153825,0.25,100859,2198106,1243012,560538,25933285,6637989,85163,3.172,2684442,1330255,99.65
11:05:54.335874175,0.25,90124,2261046,2490557,1134191,30427202,7107713,98924,3.349,2953506,1574877,99.57
11:05:56.216651157,0.25,85891,2055746,1085203,534850,30281350,7035177,95067,3.292,2887605,1563404,99.05
11:05:58.076818349,0.25,77252,1900281,1035514,514474,67388538,14254060,276664,3.945,7012265,2971032,99.66
11:05:59.942263324,0.25,78514,1870965,2786702,1197160,45343276,10119696,176699,3.802,4647566,2239322,99.64
11:06:01.819723890,0.25,1757807,29800159,2781456,1332132,65010413,15068986,231017,3.554,6499672,3271370,99.54
