timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-21 11:05:21.088587,2019-01-21 11:05:41.273,2019-01-21 11:05:41.174326,2019-01-21 11:05:21.535,2019-01-21 11:05:41.258
2019-01-21 11:05:21.090788,2019-01-21 11:05:42.664,2019-01-21 11:05:41.180788,2019-01-21 11:05:21.824,2019-01-21 11:05:42.663
2019-01-21 11:05:21.097876,2019-01-21 11:05:42.795,2019-01-21 11:05:41.185322,2019-01-21 11:05:21.929,2019-01-21 11:05:42.794
2019-01-21 11:05:21.086588,2019-01-21 11:05:42.930,2019-01-21 11:05:41.172255,2019-01-21 11:05:21.839,2019-01-21 11:05:42.928
2019-01-21 11:05:21.095585,2019-01-21 11:05:43.74,2019-01-21 11:05:41.182891,2019-01-21 11:05:21.624,2019-01-21 11:05:43.72
2019-01-21 11:05:21.094375,2019-01-21 11:05:43.206,2019-01-21 11:05:41.181361,2019-01-21 11:05:21.730,2019-01-21 11:05:43.205
2019-01-21 11:05:21.094020,2019-01-21 11:05:43.343,2019-01-21 11:05:41.181103,2019-01-21 11:05:21.424,2019-01-21 11:05:43.341
2019-01-21 11:05:21.089321,2019-01-21 11:05:43.476,2019-01-21 11:05:41.175104,2019-01-21 11:05:21.536,2019-01-21 11:05:43.475
2019-01-21 11:05:21.085402,2019-01-21 11:05:43.611,2019-01-21 11:05:41.171061,2019-01-21 11:05:21.527,2019-01-21 11:05:43.609
2019-01-21 11:05:21.085867,2019-01-21 11:05:43.762,2019-01-21 11:05:41.171514,2019-01-21 11:05:21.422,2019-01-21 11:05:43.761
2019-01-21 11:05:21.089558,2019-01-21 11:05:43.902,2019-01-21 11:05:41.175362,2019-01-21 11:05:21.923,2019-01-21 11:05:43.901
2019-01-21 11:05:21.102780,2019-01-21 11:05:44.46,2019-01-21 11:05:41.214964,2019-01-21 11:05:21.726,2019-01-21 11:05:44.45
2019-01-21 11:05:21.097305,2019-01-21 11:05:44.179,2019-01-21 11:05:41.184825,2019-01-21 11:05:21.623,2019-01-21 11:05:44.178
2019-01-21 11:05:21.096814,2019-01-21 11:05:44.397,2019-01-21 11:05:41.184291,2019-01-21 11:05:21.924,2019-01-21 11:05:44.396
2019-01-21 11:05:21.088844,2019-01-21 11:05:44.529,2019-01-21 11:05:41.174593,2019-01-21 11:05:21.733,2019-01-21 11:05:44.528
2019-01-21 11:05:21.097056,2019-01-21 11:05:44.665,2019-01-21 11:05:41.184568,2019-01-21 11:05:21.625,2019-01-21 11:05:44.663
2019-01-21 11:05:21.088036,2019-01-21 11:05:44.801,2019-01-21 11:05:41.173819,2019-01-21 11:05:21.545,2019-01-21 11:05:44.800
2019-01-21 11:05:21.086344,2019-01-21 11:05:44.944,2019-01-21 11:05:41.171996,2019-01-21 11:05:21.838,2019-01-21 11:05:44.942
2019-01-21 11:05:21.087311,2019-01-21 11:05:45.81,2019-01-21 11:05:41.173040,2019-01-21 11:05:21.543,2019-01-21 11:05:45.79
2019-01-21 11:05:21.090527,2019-01-21 11:05:45.219,2019-01-21 11:05:41.176411,2019-01-21 11:05:21.833,2019-01-21 11:05:45.217
2019-01-21 11:05:21.087071,2019-01-21 11:05:45.356,2019-01-21 11:05:41.172791,2019-01-21 11:05:21.539,2019-01-21 11:05:45.355
2019-01-21 11:05:21.095342,2019-01-21 11:05:45.489,2019-01-21 11:05:41.182613,2019-01-21 11:05:21.729,2019-01-21 11:05:45.488
2019-01-21 11:05:21.104834,2019-01-21 11:05:45.620,2019-01-21 11:05:41.217096,2019-01-21 11:05:21.836,2019-01-21 11:05:45.619
2019-01-21 11:05:21.122408,2019-01-21 11:05:45.755,2019-01-21 11:05:41.232789,2019-01-21 11:05:21.927,2019-01-21 11:05:45.753
