horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
11:44:48.690505549,0.25,1864969,76932614,9404819,1127438,55434799,19052499,414218,4.723,8769974,2223756,99.72
11:44:50.795373219,0.25,105653,5198275,8287754,1136960,25748635,11056000,90409,1.774,5097369,1343100,99.72
11:44:52.984687909,0.25,110928,5548144,10489606,1373435,25751394,11020580,93078,1.840,5059690,1344757,99.72
11:44:55.294521794,0.25,376176,11321385,19727489,2852444,68795146,23801345,349434,3.195,10938400,2921490,99.72
11:44:57.330096027,0.25,407362,12369744,5058579,496530,25840208,11025415,96900,1.892,5122029,1337945,99.73
11:44:59.440581792,0.25,382181,11589344,5062118,532152,24210833,11098185,98768,1.948,5069462,1350766,99.72
11:45:01.591796338,0.25,99049,5273533,5201517,551476,32943406,13150392,141922,2.362,6008938,1594431,99.73
11:45:03.722914763,0.25,104554,5265887,5201043,532519,30291940,12232748,127181,2.260,5628408,1476826,99.72
11:45:05.921683130,0.25,271598,8245521,5429878,590503,28396594,11784227,111758,2.076,5383636,1429499,99.72
11:45:08.039065579,0.25,93130,5093119,5613878,662494,24612964,11097527,98098,1.928,5087883,1353100,99.73
11:45:10.235040747,0.25,130123,6083545,5345048,581842,29186713,11970904,109900,1.996,5506118,1463987,99.72
11:45:12.279993193,0.25,126867,5606292,5509538,575139,31421722,12569944,117512,2.037,5768162,1533272,99.77
11:45:14.450519819,0.25,3966816,94411521,43122164,8132906,26899837,11229467,97418,1.893,5147074,1370799,99.82
11:45:16.591665614,0.25,112945,5306721,5009728,523655,45194987,18096995,209307,2.529,8275895,2254196,99.72
11:45:18.687086933,0.25,126871,6491948,5459998,588743,27891233,11574490,114380,2.157,5302322,1401081,99.72
11:45:20.776965102,0.25,111148,5535762,4918389,501228,57241222,20579228,322584,3.363,9592028,2498315,99.84
11:45:22.950792538,0.25,108737,5489322,5574068,594611,50744672,16033432,264572,3.479,7605696,1919138,99.72
11:45:24.984955959,0.25,101689,5158613,5767981,629949,130548674,44015456,676789,3.283,20613517,5440274,99.72
11:45:27.099218400,0.25,94133,5142127,5299230,599119,25136791,10886734,95018,1.895,5015173,1328651,99.72
11:45:29.215384645,0.25,87192,5090607,5186220,524420,25903926,11084623,97759,1.908,5124269,1349934,99.73
11:45:31.343456956,0.25,118875,5447144,7604598,1088220,25682706,11568191,99236,1.911,5191811,1420064,99.72
11:45:33.513847940,0.25,103321,5208904,8324444,1126154,25313566,10918939,83430,1.676,4978348,1331348,99.72
11:45:35.741474061,0.25,716715,20897903,9834635,1323635,54565680,17938644,242083,2.910,8317595,2163267,99.73
11:45:37.870435981,0.25,438798,12203959,7672352,1025789,32675406,12726012,111397,1.927,5781997,1563902,99.77
11:45:39.990982936,0.25,223510,8145911,7908537,1124356,54352586,17427403,224975,2.772,8116309,2120815,99.72
11:45:42.122341741,0.25,217518,7944075,7863326,1044472,36124550,13926136,130774,2.044,6397783,1716483,99.73
11:45:44.254220710,0.25,217779,8017902,8549770,1184305,98136686,34949819,616097,3.834,16069827,4200397,99.72
11:45:46.366765635,0.25,109969,5566216,5058813,495861,25522444,11603554,88590,1.682,5266055,1423793,99.71
11:45:48.570661474,0.25,103652,5546656,5199542,543883,23685230,11028794,84955,1.718,4944513,1344731,99.72
11:45:50.707277539,0.25,81413,4905476,4946673,476793,28393996,12707237,112405,1.964,5723521,1553127,99.72
11:45:52.887214151,0.25,89285,5069087,5086072,477830,24451716,10624920,79110,1.629,4857544,1298823,99.78
11:45:55.050016921,0.25,2802287,60978855,5143960,508985,24394961,10873942,85416,1.713,4986812,1331806,99.72
11:45:57.230713862,0.25,82502,4922442,4984684,486106,49485195,15695694,249061,3.367,7397981,1888306,99.72
11:45:59.306499063,0.25,94292,5066778,4788280,445249,29615854,12458328,130843,2.296,5698472,1506867,99.71
11:46:01.556719655,0.25,83800,4906550,7439692,1027922,24434511,10726916,81307,1.655,4913812,1300127,99.72
11:46:03.623841776,0.25,78902,4851807,7965483,1083257,25741696,11164896,87348,1.728,5056107,1356891,99.82
11:46:05.737139280,0.25,266925,9189715,7711212,1029049,28134212,11751672,104880,1.962,5344236,1420060,99.75
11:46:07.831727269,0.25,82099,4920343,4990812,466279,24337037,10795569,75813,1.550,4890105,1314828,99.73
11:46:10.010878644,0.25,268962,8327673,5129850,506203,24670861,10976330,82331,1.655,4974058,1339127,99.73
11:46:12.068549631,0.25,283527,9178008,5958746,572126,23210500,11002683,72282,1.468,4922200,1351715,99.73
11:46:14.229336550,0.25,249453,7868427,25988951,4878115,761199932,170538592,3629503,4.392,82640743,17494193,99.72
11:46:16.539949985,0.25,94712,5133358,5558991,523215,24680379,10908352,79009,1.622,4871086,1336429,99.73
11:46:18.652758324,0.25,79771,4945456,6018204,592399,27988727,11236694,94714,1.824,5193715,1358209,99.70
11:46:20.797509644,0.25,87970,5063797,5351299,506237,24886379,10612481,86707,1.772,4894210,1284300,99.72
11:46:22.891095873,0.25,84533,4924469,5075433,512858,23042993,10655752,78122,1.610,4851759,1300507,99.71
11:46:25.076333697,0.25,91666,4969857,6250324,668480,43539183,17999779,223969,2.760,8116224,2195039,99.72
11:46:27.247684907,0.25,85007,5060648,4987470,462157,24651927,10830045,79104,1.597,4953020,1327103,99.72
11:46:29.317293788,0.25,91510,5024118,4781936,436593,25027342,10767383,84687,1.714,4939500,1313184,99.72
11:46:31.474157300,0.25,95486,5175053,4787415,441946,51944734,16488007,255943,3.291,7776569,1970437,99.73
11:46:33.660480937,0.25,76449,4891449,5071699,489731,48825913,15611406,245081,3.353,7309279,1873836,99.72
11:46:35.930654374,0.25,359756,11374768,9624922,1497500,46300520,15369356,188067,2.596,7245811,1849684,99.73
11:46:38.037451609,0.25,169179,6726072,8164005,1121153,32768323,12831704,115303,1.947,5921165,1571311,99.72
11:46:40.220579189,0.25,391883,11946014,8114840,1118989,40908931,15660012,182426,2.515,7253479,1898067,99.73
11:46:42.421060837,0.25,372041,10328090,5596700,608512,24050142,11035368,81497,1.610,5062559,1349196,99.71
11:46:44.595628096,0.25,293067,11327272,7365293,988917,113998090,39795548,578791,3.210,18029028,4876146,99.72
11:46:46.665935374,0.25,78651,4977587,5239864,478491,27604363,11582463,101185,1.932,5236242,1405903,99.78
11:46:48.799865431,0.25,85954,5356738,4840644,447481,25704531,11592521,104915,2.011,5216676,1413533,99.72
11:46:50.914617847,0.25,81825,4895014,4903625,463328,24083655,11014774,76855,1.550,4957806,1354031,99.72
11:46:53.033023697,0.25,83137,4929215,8573296,826782,26071354,11719107,90720,1.711,5302377,1445327,99.72
11:46:55.279474004,0.25,3736899,81266747,15091138,1831572,50433830,18947783,223210,2.607,8560820,2329378,99.77
11:46:57.465463673,0.25,98999,5156199,4670496,396975,26891014,12377753,100972,1.782,5666620,1521164,99.72
11:46:59.571570315,0.25,84371,5005087,4816619,459072,27071097,11609720,90862,1.736,5235454,1413541,99.72
11:47:01.658809054,0.25,85827,5275594,4928790,460903,38873016,13856030,171980,2.695,6380846,1683604,99.79
11:47:03.796998216,0.25,69186,4725854,6504188,660578,53309341,16851093,256769,3.250,7900375,2033664,99.72
11:47:06.021320196,0.25,268661,9853097,7260027,1010471,21428873,10126397,65138,1.390,4687763,1237473,99.72
11:47:08.237334605,0.25,77425,4969563,9681086,1248080,25891863,11930011,89603,1.655,5413176,1470388,99.73
11:47:10.419942198,0.25,90570,5053242,4881121,457691,23552744,10510741,76039,1.578,4817585,1282805,99.72
11:47:12.549088921,0.25,261924,8083039,4809937,454707,23944357,10773234,76429,1.565,4884717,1316929,99.78
11:47:14.682202045,0.25,232835,7113582,73338583,14654506,784435376,176171349,3439798,4.191,82068170,19208678,99.72
11:47:16.819328394,0.25,66533,4763826,5009456,454243,26024093,11563656,91170,1.765,5165323,1411717,99.72
11:47:18.927681609,0.25,76789,5014196,4955181,447267,28868613,12058472,99382,1.805,5506799,1473562,99.72
11:47:21.029198446,0.25,75448,4884932,4917974,449780,24836305,10771504,77026,1.564,4924180,1319693,99.72
11:47:23.095657637,0.25,78490,4958966,5001659,502180,22115794,10595456,68134,1.428,4772389,1308413,99.72
11:47:25.313424761,0.25,78392,4897960,9318629,1172309,30075887,13055822,127156,2.159,5890377,1595688,99.74
11:47:27.467711877,0.25,92905,5476588,4867482,454177,28465875,12357308,95325,1.685,5657070,1515906,99.73
11:47:29.539147898,0.25,83206,5141045,4704615,423657,24504551,10924919,75351,1.513,4979504,1321891,99.73
11:47:31.733077669,0.25,77739,5079933,5351975,495881,25964044,11276241,81672,1.602,5096900,1372037,nosymbolsfoundin/bin/sleep,maybeinstalladebugpackage?
99.75
11:47:33.845758059,0.25,75220,4887083,4856267,423350,26878556,11567568,86612,1.629,5315593,1403959,99.72
11:47:36.118292245,0.25,191556,7742246,7439078,1029616,84647571,25346777,390358,3.288,11871840,3090333,99.73
11:47:38.301351708,0.25,188745,7860624,11359228,1601000,51882059,18042538,204236,2.432,8397453,2199258,99.74
11:47:40.384115439,0.25,192378,7710565,9392991,1419899,41301320,15647709,174910,2.439,7170835,1891870,99.72
11:47:42.526238010,0.25,199128,7939285,12986935,1865208,45326937,15376051,173647,2.419,7179369,1855125,99.72
11:47:44.681168518,0.25,190167,7766209,7220996,937443,55974610,19720578,212053,2.352,9015484,2404822,99.82
11:47:46.813928683,0.25,230497,7355370,4867461,439057,24359867,11203833,81211,1.618,5018753,1370838,99.73
11:47:48.896527495,0.25,228578,7166013,4896229,443783,24559095,11325062,82455,1.605,5138662,1389413,99.73
11:47:51.078756797,0.25,76189,4914882,4949142,447710,23715364,10634069,71641,1.486,4822075,1309574,99.72
11:47:53.151136383,0.25,75918,5000513,4968421,482032,26582527,11481266,85609,1.639,5224162,1416261,99.73
11:47:55.285816831,0.25,3392461,83069976,58221935,11911498,28379073,12361416,96349,1.721,5598745,1521813,99.72
11:47:57.498124347,0.25,82101,5178887,4942676,460287,23492740,10669681,67203,1.397,4812082,1306344,99.73
11:47:59.666744396,0.25,77865,5041281,4880910,466194,23277153,10614750,69668,1.450,4805325,1294289,99.76
11:48:01.818067837,0.25,91244,5414666,4877423,462230,24727701,10983379,85222,1.715,4968262,1334275,99.66
11:48:03.900117064,0.25,75339,4982151,4864495,425092,24160399,10948559,70985,1.443,4918990,1340850,99.72
11:48:05.947603849,0.25,188569,6986945,5046186,466299,24755077,11004995,80669,1.624,4966309,1342339,99.84
11:48:08.039229675,0.25,89057,5189372,4955120,449426,21677085,10348065,64794,1.378,4701040,1270646,99.73
11:48:10.205185653,0.25,72628,4943869,5037609,472711,23092429,10502514,72910,1.508,4835712,1283232,99.71
11:48:12.301506167,0.25,88333,5385829,4930103,455716,47734272,15286412,235828,3.267,7217535,1831838,99.73
11:48:14.384994798,0.25,77716,4934930,4768298,440056,52072723,16670210,249866,3.214,7774690,2023361,99.88
11:48:16.574925986,0.25,79202,5059237,4963744,422739,44297022,14853913,214863,3.086,6961544,1782524,99.73
11:48:18.656833906,0.25,89967,5412897,4949986,465866,22291684,10559977,71743,1.500,4783563,1285720,99.72
11:48:20.815901865,0.25,65038,4746169,7317086,997215,24122925,10691102,74600,1.516,4920781,1298195,99.72
11:48:22.885233898,0.25,66652,4841450,6995544,919678,25002041,11198436,74175,1.474,5033717,1377864,99.72
11:48:25.010224263,0.25,76473,4991538,4901798,431511,41440036,16415402,195929,2.614,7496783,1988135,99.72
11:48:27.132191414,0.25,226474,7184328,4954361,460852,21503202,10355613,64377,1.378,4670329,1277831,99.72
11:48:29.292574918,0.25,225902,7314629,4908261,456052,24718686,10984332,76173,1.527,4989019,1345230,99.71
11:48:31.409156525,0.25,70447,4936541,4667008,399423,24391356,11120565,80509,1.599,5036527,1355864,99.72
11:48:33.609147947,0.25,71793,4870434,4957294,449956,21908610,10405729,67255,1.413,4758421,1267039,99.72
11:48:35.959389927,0.25,1887477,43710400,6185723,720653,36079429,14378399,120905,1.846,6551083,1775736,99.72
11:48:38.108926719,0.25,167303,7036169,7586329,962581,44672241,15399920,166085,2.303,7211291,1874541,99.72
11:48:40.238798679,0.25,174922,7229604,8048084,1009885,28278826,11679191,87274,1.625,5370376,1431662,99.90
11:48:42.347325708,0.25,181580,7448893,6831797,893823,42388863,14376872,156514,2.297,6812527,1729058,99.72
11:48:44.437123631,0.25,75050,5006961,7019497,879311,44265836,15987989,157797,2.117,7452158,1932394,99.72
11:48:46.814274163,0.25,62177,4720283,4947746,453059,23992319,11067316,71715,1.455,4928881,1357494,99.72
11:48:48.919963459,0.25,65480,4791457,7219721,976673,23777830,10780844,73015,1.500,4866439,1325053,99.72
11:48:51.079338075,0.25,82842,5055079,8230940,1097162,22549148,10569609,70808,1.469,4819226,1303225,99.71
11:48:53.285714748,0.25,75308,4977327,4850329,442402,22577162,10354167,69609,1.465,4750092,1268418,99.72
11:48:55.400305184,0.25,234924,7438535,76799102,15584339,514472879,121171873,2435604,4.299,56659790,12383753,99.73
11:48:57.593061077,0.25,220896,7189085,4737929,410096,23338229,11113053,73346,1.473,4980000,1351893,99.73
11:48:59.727461364,0.25,72897,4881928,4919406,443821,23324239,11080780,76002,1.531,4964123,1350659,99.72
11:49:01.907124338,0.25,67168,4890350,5022649,465680,24849120,11007703,79876,1.598,4998970,1341989,99.73
11:49:03.966537719,0.25,69640,4849375,4886746,457165,24721029,10872301,80921,1.636,4947566,1323400,99.75
11:49:06.118721723,0.25,84049,5111247,5088399,489827,21941499,10275544,59912,1.277,4692174,1265013,99.72
11:49:08.179344122,0.25,87666,5476038,4993227,489853,23670735,10618073,72052,1.494,4821342,1310371,99.72
11:49:10.275490852,0.25,79903,5060198,4980880,487810,22545083,10204484,68617,1.466,4680675,1252274,99.72
11:49:12.425317434,0.25,80194,4944486,4656556,421268,22720338,10826291,74503,1.531,4865431,1324834,99.71
